Customer_ID,Age,Gender,Location,Education_Level,Income_Level,Avg_Order_Value,Total_Purchases,Total_Spending,Purchase_Freq,Last_Purchase_Date,Product_Category,Web_Visits_Mo,Time_On_Site,Cart_Abandonment,Discount_Usage,Loyalty_Member,Email_Click_Rate,CSAT_Score,Churn_Risk,CLV
CUST-1000,56,Female,Portland,Bachelor's,92387,121.86,6,731.16,0.5,2025-04-27,Books,18,20.8,0.13,0.68,0,0.27,9,High,1096.74
CUST-1001,69,Male,Austin,Master's,29788,42.74,48,2051.52,4.0,2025-10-08,Beauty,15,13.7,0.18,0.78,0,0.07,6,Medium,3077.28
CUST-1002,46,Female,Seattle,Bachelor's,72792,85.19,49,4174.31,4.08,2025-12-06,Luxury,5,3.4,0.48,0.21,0,0.04,8,Low,6261.46
CUST-1003,32,Female,Chicago,Bachelor's,40428,62.21,19,1181.99,1.58,2025-09-30,Electronics,16,19.0,0.07,0.57,1,0.0,8,Medium,1772.98
CUST-1004,60,Female,Atlanta,High School,83851,116.5,3,349.5,0.25,2026-02-28,Apparel,16,17.0,0.39,0.32,1,0.15,7,Low,524.25
CUST-1005,25,Non-binary,New York,High School,34302,69.17,18,1245.06,1.5,2025-03-25,Beauty,17,23.1,0.3,0.54,0,0.3,5,High,1867.59
CUST-1006,38,Male,Boston,High School,106547,112.52,39,4388.28,3.25,2025-06-15,Electronics,9,5.6,0.36,0.38,0,0.21,2,High,6582.42
CUST-1007,56,Female,Austin,High School,93425,123.49,9,1111.41,0.75,2025-09-19,Books,27,34.7,0.16,0.8,1,0.09,10,Medium,1667.12
CUST-1008,75,Female,Miami,Bachelor's,61684,81.07,12,972.84,1.0,2026-02-24,Apparel,23,27.0,0.21,0.58,0,0.26,10,Low,1459.26
CUST-1009,36,Female,New York,Master's,43365,62.94,5,314.7,0.42,2025-10-04,Home & Kitchen,3,1.8,0.6,0.76,1,0.23,5,Medium,472.05
CUST-1010,40,Female,Seattle,Bachelor's,76313,101.36,3,304.08,0.25,2025-08-09,Electronics,20,23.9,0.1,0.67,0,0.0,7,High,456.12
CUST-1011,28,Female,Austin,Master's,63785,78.98,11,868.78,0.92,2025-11-04,Luxury,13,12.2,0.12,0.72,0,0.25,7,Medium,1303.17
CUST-1012,28,Female,New York,PhD,96023,126.99,30,3809.7,2.5,2025-12-03,Beauty,22,31.8,0.35,0.65,1,0.09,2,High,5714.55
CUST-1013,41,Male,Boston,Master's,21672,55.91,4,223.64,0.33,2025-09-29,Apparel,3,1.9,0.31,0.37,0,0.04,7,Medium,335.46
CUST-1014,70,Male,Miami,Bachelor's,108761,143.37,5,716.85,0.42,2025-09-16,Electronics,28,32.0,0.18,0.2,0,0.07,6,Medium,1075.28
CUST-1015,53,Female,New York,Bachelor's,75639,77.2,1,77.2,0.08,2025-09-22,Home & Kitchen,7,6.2,0.8,0.3,0,0.14,7,Medium,115.8
CUST-1016,57,Male,San Francisco,Bachelor's,48739,66.44,27,1793.88,2.25,2025-06-05,Beauty,29,42.2,0.28,0.02,1,0.13,8,High,2690.82
CUST-1017,41,Male,Miami,High School,79679,80.33,28,2249.24,2.33,2026-01-05,Beauty,6,5.0,0.37,0.42,1,0.09,4,Medium,3373.86
CUST-1018,20,Female,Seattle,Bachelor's,36487,48.83,29,1416.07,2.42,2025-07-17,Electronics,9,13.2,0.65,0.4,0,0.05,1,High,2124.1
CUST-1019,39,Male,Boston,PhD,67286,63.31,18,1139.58,1.5,2025-03-30,Home & Kitchen,12,16.8,0.06,0.42,0,0.23,8,High,1709.37
CUST-1020,70,Female,Atlanta,Master's,29701,54.2,12,650.4,1.0,2025-10-04,Books,15,11.6,0.31,0.78,1,0.3,8,Medium,975.6
CUST-1021,19,Female,Portland,Bachelor's,28530,50.72,13,659.36,1.08,2026-01-15,Books,21,27.4,0.22,0.73,0,0.23,3,High,989.04
CUST-1022,41,Female,Portland,Bachelor's,85787,101.46,41,4159.86,3.42,2025-10-09,Apparel,20,29.9,0.33,0.13,1,0.09,3,High,6239.79
